Sale Date,Order ID,Channel,Product SKU,Units Sold,Unit Price,Gross Sales,GTGT,Service Fee,Shipping Fees,Note
4/18/2025,10001,Wix,HM2SA-1W,1,"810,000 ₫","810,000 ₫",0 ₫,0,0,
4/18/2025,10002,Wix,HM2SA-1W,1,"810,000 ₫","810,000 ₫",0 ₫,0,0,
4/18/2025,10003,Wix,HM2SA-1W,1,"810,000 ₫","810,000 ₫",0 ₫,0,0,
4/18/2025,10004,Wix,HM2SA-1W,1,"810,000 ₫","810,000 ₫",0 ₫,0,0,
12/15/2025,VCT1299-01,Safefire,HM2SA-1W,8,"810,000 ₫","6,480,000 ₫","518,400 ₫",0,0,
12/15/2025,VCT1299-01,Safefire,WS2GW-R,1,"1,080,000 ₫","1,080,000 ₫","86,400 ₫",0,0,
12/15/2025,VCT1299-01,Safefire,HM5HW-T,1,"810,000 ₫","810,000 ₫","64,800 ₫",0,0,
12/16/2025,VCT1299-02,Safefire,HM2SA-1W,3,"810,000 ₫","2,430,000 ₫","194,400 ₫",0,0,
12/16/2025,VCT1299-02,Safefire,WS2GW-R,1,"1,080,000 ₫","1,080,000 ₫","86,400 ₫",0,0,
12/18/2025,VCT1299-03,Safefire,HM2SA-1W,2,"810,000 ₫","1,620,000 ₫","129,600 ₫",0,0,
12/18/2025,VCT1299-03,Safefire,WS2GW-R,1,"1,080,000 ₫","1,080,000 ₫","86,400 ₫",0,0,
1/7/2026,VCT1299-02601,Safefire,HM2SA-1W,2,"810,000 ₫","1,620,000 ₫",0 ₫,0,0,
1/7/2026,VCT1299-02601,Safefire,HM5HW-T,2,"810,000 ₫","1,620,000 ₫",0 ₫,0,0,
1/7/2026,VCT1299-02601,Safefire,WS2GW-R,1,"1,080,000 ₫","1,080,000 ₫",0 ₫,0,0,
1/8/2026,VCT1299-02602,Safefire,HM5HW-T,1,"810,000 ₫","810,000 ₫","64,800 ₫",0,0,
1/8/2026,VCT1299-02602,Safefire,HM2SA-1W,1,"810,000 ₫","810,000 ₫","64,800 ₫",0,0,
