Date,Product SKU,Unit Cost,Unit In,Total,Note,
03/26/2025,HM2SA-1W,"487,500 ₫",16,"7,800,000 ₫",,
03/26/2025,WS2GW-R,"650,000 ₫",2,"1,300,000 ₫",,
03/26/2025,HM5HW-T,"487,500 ₫",1,"487,500 ₫",,
03/26/2025,HM2WD-W,0 ₫,0,0 ₫,,
03/26/2025,HM1RC-W,"422,500 ₫",1,"422,500 ₫",,
03/26/2025,Total,,,0 ₫,"10,010,000 ₫",
03/26/2025,,,,0 ₫,"835,250 ₫",GTGT 
03/26/2025,,,,0 ₫,"10,845,250 ₫",
12/16/2025,HM2SA-1W,"562,500 ₫",6,"3,375,000 ₫",,
12/16/2025,WS2GW-R,"750,000 ₫",2,"1,500,000 ₫",,
12/16/2025,HM5HW-T,"562,500 ₫",2,"1,125,000 ₫",,
12/16/2025,HM2WD-W,"750,000 ₫",2,"1,500,000 ₫",,
12/16/2025,HM1RC-W,"487,500 ₫",2,"975,000 ₫",,
12/16/2025,HM2EB-W,"562,500 ₫",2,"1,125,000 ₫",,
,,,,,"9,600,000 ₫",
,,,,,"768,000 ₫",GTGT 
,,,,,"10,368,000 ₫",
01/06/2026,HM2SA-1W,"562,500 ₫",1,"562,500 ₫",,
01/06/2026,WS2GW-R,"750,000 ₫",1,"750,000 ₫",,
01/06/2026,HM5HW-T,"562,500 ₫",4,"2,250,000 ₫",,
,,,,,"3,562,500 ₫",
,,,,,"285,000 ₫",
,,,,,"3,847,500 ₫",
