Date,Event name,Cash In,Cash Out,Balance,Note
03/26/2025,Owner Cash in,"10,845,250 ₫",0,"10,845,250 ₫",
03/26/2025,Stocking,0,"10,845,250 ₫",0 ₫,
04/18/2025,Sales,"3,240,000 ₫",0,"3,240,000 ₫",
06/30/2025,Owner Cash In,"1,458,000 ₫",0,"4,698,000 ₫",
06/30/2025,Accounting Service,0,"4,698,000 ₫",0 ₫,
09/29/2025,Accounting Service,0,"1,620,000","-1,620,000 ₫",
10/02/2025,Owner Cash in,"1,200,000",0,"-420,000 ₫",
10/02/2025,Salary,0,"1,200,000","-1,620,000 ₫",
12/15/2025,Sales,"8,370,000 ₫",0,"6,750,000 ₫",
12/16/2025,Sales,"3,790,800 ₫",0,"10,540,800 ₫",
12/18/2025,Stocking,0,"10,368,000 ₫","172,800 ₫",
12/18/2025,Sales,"2,700,000 ₫",0,"2,872,800 ₫",
12/27/2025,Banking Service,0,"110,000","2,762,800 ₫",
1/2/2026,Owner Cash in,"1,900,000 ₫",0,"4,662,800 ₫",
1/2/2026,Edu FF,0,"1,900,000 ₫","2,762,800 ₫",
1/5/2026,Edu Ac,0,"1,100,000 ₫","1,662,800 ₫",
,,"33,504,050 ₫","31,841,250 ₫","-1,037,200 ₫",
